data_hora,Demanda_MW,Vel_viento
2015-10-09 02,1067.357946,30.99986614
2015-10-09 03,991.0591606,16.15274012
2015-10-09 04,949.0277884,10.39672139
2015-10-09 05,953.3623696,8.863143109
2015-10-09 06,988.5643222,17.32471327
2015-10-09 07,1051.916651,20.39356189
2015-10-09 08,1174.512694,34.36283914
2015-10-09 09,1261.482691,20.29983796
2015-10-09 10,1312.621907,17.07176507
2015-10-09 11,1340.644303,8.437375388
2015-10-09 12,1359.266737,9.525152569
2015-10-09 13,1340.269614,16.09722708
2015-10-09 14,1316.658262,10.18627848
2015-10-09 15,1291.745241,9.449279423
2015-10-09 16,1278.808071,8.682026411
2015-10-09 17,1281.342861,9.45444747
2015-10-09 18,1291.604713,13.34777097
2015-10-09 19,1346.337982,37.79945107
2015-10-09 20,1527.165022,34.2694569
2015-10-09 21,1578.867601,8.422396565
2015-10-09 22,1555.919544,18.96496814
2015-10-09 23,1468.593033,26.26247559
2015-10-10 00,1365.338724,35.74786438
2015-10-10 01,1246.581027,37.31641211
2015-10-10 02,1116.974008,33.04364711
2015-10-10 03,1022.115143,19.82598944
2015-10-10 04,979.5487368,8.683931333
2015-10-10 05,974.3584714,5.144051114
2015-10-10 06,984.9046268,7.304617606
2015-10-10 07,965.1633919,8.869871984
2015-10-10 08,1023.472251,25.46641649
2015-10-10 09,1117.138047,26.14745595
2015-10-10 10,1184.245065,15.06875668
2015-10-10 11,1210.025694,5.653539121
2015-10-10 12,1212.485611,6.111901456
2015-10-10 13,1222.199537,7.126443357
2015-10-10 14,1215.118904,10.15392197
2015-10-10 15,1184.144629,8.363948969
2015-10-10 16,1166.895258,5.170057309
2015-10-10 17,1170.979098,6.874343651
2015-10-10 18,1196.998608,11.8608218
2015-10-10 19,1263.996075,39.59106942
2015-10-10 20,1446.26054,34.73025377
2015-10-10 21,1481.679455,6.344904037
2015-10-10 22,1436.284396,23.26983292
2015-10-10 23,1354.893525,21.32499236
2015-10-11 00,1269.016443,30.88528908
2015-10-11 01,1167.641534,31.76378532
2015-10-11 02,1056.776431,29.15333152
2015-10-11 03,970.7949546,19.11372822
2015-10-11 04,922.9299906,12.27611404
2015-10-11 05,898.7637837,6.858920443
2015-10-11 06,898.8267759,5.45841499
2015-10-11 07,849.7400604,17.41762612
2015-10-11 08,864.9349359,16.62510592
2015-10-11 09,936.2419308,23.33473636
2015-10-11 10,1018.442578,22.49369375
2015-10-11 11,1073.059236,12.37675378
2015-10-11 12,1100.500075,7.880929071
2015-10-11 13,1119.436512,7.921510923
2015-10-11 14,1121.436157,6.583483372
2015-10-11 15,1092.193968,10.13336006
2015-10-11 16,1062.863784,7.582683673
2015-10-11 17,1060.346784,5.705509375
2015-10-11 18,1083.986623,13.73085098
2015-10-11 19,1156.134665,36.66697254
2015-10-11 20,1328.67582,34.04453463
2015-10-11 21,1383.721941,7.418449354
2015-10-11 22,1376.254217,12.69671698
2015-10-11 23,1326.943834,19.67526584
2015-10-12 00,1238.959977,33.92182408
2015-10-12 01,1126.755726,35.03295553
2015-10-12 02,1013.040285,27.39989887
2015-10-12 03,937.8929742,16.37282903
2015-10-12 04,905.0482394,7.194193386
2015-10-12 05,901.1588404,4.673974991
2015-10-12 06,925.7612226,10.90523334
2015-10-12 07,931.0292735,7.018555633
2015-10-12 08,998.2143652,30.88515604
2015-10-12 09,1108.235372,27.67456396
2015-10-12 10,1195.608587,21.42671719
2015-10-12 11,1248.37247,10.76836344
2015-10-12 12,1277.282953,10.69743871
2015-10-12 13,1277.65537,5.234497094
2015-10-12 14,1273.524846,11.9713916
2015-10-12 15,1228.160539,11.88429898
2015-10-12 16,1194.594322,7.05666924
2015-10-12 17,1177.04058,5.460094308
2015-10-12 18,1170.047933,5.674906049
2015-10-12 19,1206.774294,34.4097016
2015-10-12 20,1434.351796,56.64409121
2015-10-12 21,1517.855938,12.65079519
2015-10-12 22,1509.425898,18.9811803
2015-10-12 23,1436.69448,26.22491511
2015-10-13 00,1313.839803,46.09522413
2015-10-13 01,1156.334833,37.92620556
2015-10-13 02,1035.949868,36.37828575
2015-10-13 03,951.6587641,12.31742386
2015-10-13 04,919.1113204,8.819307339
2015-10-13 05,918.7017593,4.901445663
2015-10-13 06,951.0102644,15.97795032
2015-10-13 07,1009.715508,32.91804894
2015-10-13 08,1155.778083,36.38676036
2015-10-13 09,1226.200105,15.68207749
2015-10-13 10,1262.699696,10.13526774
2015-10-13 11,1272.589723,8.066588523
2015-10-13 12,1288.626843,8.993297594
2015-10-13 13,1271.062146,11.92831522
2015-10-13 14,1244.260907,11.33951214
2015-10-13 15,1214.533332,10.85305733
2015-10-13 16,1195.205783,9.584818198
2015-10-13 17,1181.368725,10.0140944
2015-10-13 18,1174.964716,8.61901088
2015-10-13 19,1215.105944,36.06480984
2015-10-13 20,1441.568334,60.96495922
2015-10-13 21,1468.581561,20.38093556
2015-10-13 22,1426.84398,42.69699446
2015-10-13 23,1404.000084,15.06960161
2015-10-14 00,1305.07006,47.79497305
2015-10-14 01,1154.705594,38.69295351
2015-10-14 02,1031.318463,29.55948912
2015-10-14 03,954.9729867,17.11465865
2015-10-14 04,929.8077141,9.429926438
2015-10-14 05,931.1718963,8.172947823
2015-10-14 06,960.573787,15.46568273
2015-10-14 07,1001.561,34.25011997
2015-10-14 08,1146.151918,34.91206201
2015-10-14 09,1215.78659,16.23648547
2015-10-14 10,1247.786038,11.5267178
2015-10-14 11,1252.262475,10.57947714
2015-10-14 12,1278.777898,11.53144523
2015-10-14 13,1260.238819,10.4597252
2015-10-14 14,1244.481034,11.87463263
2015-10-14 15,1209.820142,12.20784608
2015-10-14 16,1188.786872,13.19905653
2015-10-14 17,1197.96787,9.066711168
2015-10-14 18,1221.710472,7.549243772
2015-10-14 19,1241.938293,27.21457953
2015-10-14 20,1407.449956,39.53631368
2015-10-14 21,1472.116311,11.92944635
2015-10-14 22,1439.514139,27.80885412
2015-10-14 23,1359.056881,26.83654467
2015-10-15 00,1224.832169,52.4895855
2015-10-15 01,1076.915274,35.4334888
2015-10-15 02,965.8293529,25.92965002
2015-10-15 03,893.5538506,16.178555
